"participant","session","gender","age","SOA","Orientierung","stimulus","response","correct","Rating","rt","rating","rating3"
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,0.134905012589,2.94085951826,3,2
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,0.0476234073396,2.20778663334,3,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.460318913558,2.83252437774,4,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.317463950561,2.78254279177,4,2
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,0.0476234073396,2.62420585476,3,2
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,0.317463950561,2.33282625238,4,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.190478370336,2.94941723117,3,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.206347753109,2.26584986212,4,2
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,0.190478370336,3.19077065612,3,2
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,0.214282444495,2.60758285994,4,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.11110093843,2.31614390919,3,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.325398641947,2.29089134181,4,2
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,0.0238193331807,2.89089012276,3,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.206347753109,1.99080806162,4,2
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,0.126970321202,2.5158623734,3,2
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,1.52590218967e-05,2.76589894482,3,2
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,0.0238193331807,2.79109922148,3,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.34126802472,2.83249839278,4,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,0.34126802472,2.83252405694,4,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,0.0634927901122,2.59075872228,3,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-0.398458838788,3.40750798476,2,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.579369802396,2.38255536721,4,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.6349126421,1.99083821701,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.140642404822,3.44912754701,3,2
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,-0.140642404822,2.61587077841,3,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-0.453147173266,4.20742990157,2,2
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,0.0634927901122,2.50386181392,3,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-0.078141451133,2.44927575751,3,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,-0.0312657358663,2.44921320113,3,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-1.52590218967e-05,2.53252482686,3,2
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,0.285725185016,2.39085611776,4,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.0793621728847,2.79084546713,3,2
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.738094148165,2.25755777322,5,3
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-0.937529564355,3.66580584809,1,1
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,1,2.51610105005,5,3
