"gender","age","coherence","direction","stimulus","response","correct","Rating","rt","rating","rating3","participant"
"w",23,0.016,90,"nach oben","nach oben",1,-0.296894789044,4.97404839684,2,2,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.328145265888,2.97421906353,2,2,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.531273365377,6.14069993234,2,2,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.437521934844,3.91603423215,2,2,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.6325186779,5,3,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.0625162127108,3.09086140806,3,2,7
"w",23,0.016,90,"nach oben","nach unten",0,-0.804715037766,2.99089339202,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.595239185168,2.82443145054,4,2,7
"w",23,0.064,270,"nach unten","nach unten",1,1.52590218967e-05,3.12824928373,3,2,7
"w",23,0.128,90,"nach oben","nach oben",1,0.785702296483,3.0076286729,5,3,7
"w",23,0.128,90,"nach oben","nach oben",1,1,3.48249912501,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,0.460318913558,2.92421404298,4,2,7
"w",23,0.064,90,"nach oben","nach oben",1,0.484122987716,2.46592167874,4,2,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.601586938277,3.44918351065,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,0.682520790417,2.50752072301,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.765651941711,4.39909123193,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,3.59084071633,5,3,7
"w",23,0.128,90,"nach oben","nach oben",1,1,2.25732142473,5,3,7
"w",23,0.016,90,"nach oben","nach unten",0,-0.859403372244,3.40751902276,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,3.02445923199,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-1.52590218967e-05,3.49085730179,3,2,7
"w",23,0.016,270,"nach unten","nach unten",1,-1,3.73250594206,1,1,7
"w",23,0.016,270,"nach unten","nach unten",1,-0.968780041199,4.69075964965,1,1,7
"w",23,0.256,90,"nach oben","nach oben",1,0.626977950713,2.54088509929,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.79088197147,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,0.936491950866,3.68251471599,5,3,7
